Question / Topic,Asked Count,Company,Date Asked,Difficulty,Is Premium,Notes,Round Type,Source,Frequency Bucket,Platform,Topic
2411. Smallest Subarrays With Maximum Bitwise OR,,,,Medium,No,,,LeetCode Free,,LeetCode,
2425. Bitwise XOR of All Pairings,,,,Medium,No,,,LeetCode Free,,LeetCode,
2433. Find The Original Array of Prefix Xor,,,,Medium,No,,,LeetCode Free,,LeetCode,
2325. Decode the Message,,,,Easy,No,,,LeetCode Free,,LeetCode,
2367. Number of Arithmetic Triplets,,,,Easy,No,,,LeetCode Free,,LeetCode,
2392. Build a Matrix With Conditions,,,,Hard,No,,,LeetCode Free,,LeetCode,
2434. Using a Robot to Print the Lexicographically Smallest String,,,,Medium,No,,,LeetCode Free,,LeetCode,
2426. Number of Pairs Satisfying Inequality,,,,Hard,No,,,LeetCode Free,,LeetCode,
2375. Construct Smallest Number From DI String,,,,Medium,No,,,LeetCode Free,,LeetCode,
2287. Rearrange Characters to Make Target String,,,,Easy,No,,,LeetCode Free,,LeetCode,
2273. Find Resultant Array After Removing Anagrams,,,,Easy,No,,,LeetCode Free,,LeetCode,
2296. Design a Text Editor,,,,Hard,No,,,LeetCode Free,,LeetCode,
2256. Minimum Average Difference,,,,Medium,No,,,LeetCode Free,,LeetCode,
2206. Divide Array Into Equal Pairs,,,,Easy,No,,,LeetCode Free,,LeetCode,
2322. Minimum Score After Removals on a Tree,,,,Hard,No,,,LeetCode Free,,LeetCode,
2259. Remove Digit From Number to Maximize Result,,,,Easy,No,,,LeetCode Free,,LeetCode,
2283. Check if Number Has Equal Digit Count and Digit Value,,,,Easy,No,,,LeetCode Free,,LeetCode,
2260. Minimum Consecutive Cards to Pick Up,,,,Medium,No,,,LeetCode Free,,LeetCode,
2250. Count Number of Rectangles Containing Each Point,,,,Medium,No,,,LeetCode Free,,LeetCode,
2125. Number of Laser Beams in a Bank,,,,Medium,No,,,LeetCode Free,,LeetCode,
2182. Construct String With Repeat Limit,,,,Medium,No,,,LeetCode Free,,LeetCode,
2165. Smallest Value of the Rearranged Number,,,,Medium,No,,,LeetCode Free,,LeetCode,
2119. A Number After a Double Reversal,,,,Easy,No,,,LeetCode Free,,LeetCode,
2140. Solving Questions With Brainpower,,,,Medium,No,,,LeetCode Free,,LeetCode,
2139. Minimum Moves to Reach Target Score,,,,Medium,No,,,LeetCode Free,,LeetCode,
2191. Sort the Jumbled Numbers,,,,Medium,No,,,LeetCode Free,,LeetCode,
2144. Minimum Cost of Buying Candies With Discount,,,,Easy,No,,,LeetCode Free,,LeetCode,
2163. Minimum Difference in Sums After Removal of Elements,,,,Hard,No,,,LeetCode Free,,LeetCode,
2160. Minimum Sum of Four Digit Number After Splitting Digits,,,,Easy,No,,,LeetCode Free,,LeetCode,
2048. Next Greater Numerically Balanced Number,,,,Medium,No,,,LeetCode Free,,LeetCode,
2047. Number of Valid Words in a Sentence,,,,Easy,No,,,LeetCode Free,,LeetCode,
2097. Valid Arrangement of Pairs,,,,Hard,No,,,LeetCode Free,,LeetCode,
1992. Find All Groups of Farmland,,,,Medium,No,,,LeetCode Free,,LeetCode,
2115. Find All Possible Recipes from Given Supplies,,,,Medium,No,,,LeetCode Free,,LeetCode,
2033. Minimum Operations to Make a Uni-Value Grid,,,,Medium,No,,,LeetCode Free,,LeetCode,
2071. Maximum Number of Tasks You Can Assign,,,,Hard,No,,,LeetCode Free,,LeetCode,
2007. Find Original Array From Doubled Array,,,,Medium,No,,,LeetCode Free,,LeetCode,
2089. Find Target Indices After Sorting Array,,,,Easy,No,,,LeetCode Free,,LeetCode,
2028. Find Missing Observations,,,,Medium,No,,,LeetCode Free,,LeetCode,
1876. Substrings of Size Three with Distinct Characters,,,,Easy,No,,,LeetCode Free,,LeetCode,
1850. Minimum Adjacent Swaps to Reach the Kth Smallest Number,,,,Medium,No,,,LeetCode Free,,LeetCode,
1978. Employees Whose Manager Left the Company,,,,Easy,No,,,LeetCode Free,,LeetCode,
1921. Eliminate Maximum Number of Monsters,,,,Medium,No,,,LeetCode Free,,LeetCode,
1931. Painting a Grid With Three Different Colors,,,,Hard,No,,,LeetCode Free,,LeetCode,
1957. Delete Characters to Make Fancy String,,,,Easy,No,,,LeetCode Free,,LeetCode,
1984. Minimum Difference Between Highest and Lowest of K Scores,,,,Easy,No,,,LeetCode Free,,LeetCode,
1900. The Earliest and Latest Rounds Where Players Compete,,,,Hard,No,,,LeetCode Free,,LeetCode,
1985. Find the Kth Largest Integer in the Array,,,,Medium,No,,,LeetCode Free,,LeetCode,
1991. Find the Middle Index in Array,,,,Easy,No,,,LeetCode Free,,LeetCode,
1732. Find the Highest Altitude,,,,Easy,No,,,LeetCode Free,,LeetCode,
1780. Check if Number is a Sum of Powers of Three,,,,Medium,No,,,LeetCode Free,,LeetCode,
1813. Sentence Similarity III,,,,Medium,No,,,LeetCode Free,,LeetCode,
1791. Find Center of Star Graph,,,,Easy,No,,,LeetCode Free,,LeetCode,
1823. Find the Winner of the Circular Game,,,,Medium,No,,,LeetCode Free,,LeetCode,
1834. Single-Threaded CPU,,,,Medium,No,,,LeetCode Free,,LeetCode,
1729. Find Followers Count,,,,Easy,No,,,LeetCode Free,,LeetCode,
1845. Seat Reservation Manager,,,,Medium,No,,,LeetCode Free,,LeetCode,
1814. Count Nice Pairs in an Array,,,,Medium,No,,,LeetCode Free,,LeetCode,
1717. Maximum Score From Removing Substrings,,,,Medium,No,,,LeetCode Free,,LeetCode,
1671. Minimum Number of Removals to Make Mountain Array,,,,Hard,No,,,LeetCode Free,,LeetCode,
1653. Minimum Deletions to Make String Balanced,,,,Medium,No,,,LeetCode Free,,LeetCode,
1657. Determine if Two Strings Are Close,,,,Medium,No,,,LeetCode Free,,LeetCode,
1656. Design an Ordered Stream,,,,Easy,No,,,LeetCode Free,,LeetCode,
1658. Minimum Operations to Reduce X to Zero,,,,Medium,No,,,LeetCode Free,,LeetCode,
1646. Get Maximum in Generated Array,,,,Easy,No,,,LeetCode Free,,LeetCode,
1685. Sum of Absolute Differences in a Sorted Array,,,,Medium,No,,,LeetCode Free,,LeetCode,
1691. Maximum Height by Stacking Cuboids,,,,Hard,No,,,LeetCode Free,,LeetCode,
1716. Calculate Money in Leetcode Bank,,,,Easy,No,,,LeetCode Free,,LeetCode,
1670. Design Front Middle Back Queue,,,,Medium,No,,,LeetCode Free,,LeetCode,
1559. Detect Cycles in 2D Grid,,,,Medium,No,,,LeetCode Free,,LeetCode,
1561. Maximum Number of Coins You Can Get,,,,Medium,No,,,LeetCode Free,,LeetCode,
1574. Shortest Subarray to be Removed to Make Array Sorted,,,,Medium,No,,,LeetCode Free,,LeetCode,
1579. Remove Max Number of Edges to Keep Graph Fully Traversable,,,,Hard,No,,,LeetCode Free,,LeetCode,
1584. Min Cost to Connect All Points,,,,Medium,No,,,LeetCode Free,,LeetCode,
1582. Special Positions in a Binary Matrix,,,,Easy,No,,,LeetCode Free,,LeetCode,
1547. Minimum Cost to Cut a Stick,,,,Hard,No,,,LeetCode Free,,LeetCode,
1526. Minimum Number of Increments on Subarrays to Form a Target Array,,,,Hard,No,,,LeetCode Free,,LeetCode,
1544. Make The String Great,,,,Easy,No,,,LeetCode Free,,LeetCode,
1552. Magnetic Force Between Two Balls,,,,Medium,No,,,LeetCode Free,,LeetCode,
1466. Reorder Routes to Make All Paths Lead to the City Zero,,,,Medium,No,,,LeetCode Free,,LeetCode,
1492. The kth Factor of n,,,,Medium,No,,,LeetCode Free,,LeetCode,
1504. Count Submatrices With All Ones,,,,Medium,No,,,LeetCode Free,,LeetCode,
1461. Check If a String Contains All Binary Codes of Size K,,,,Medium,No,,,LeetCode Free,,LeetCode,
1475. Final Prices With a Special Discount in a Shop,,,,Easy,No,,,LeetCode Free,,LeetCode,
1463. Cherry Pickup II,,,,Hard,No,,,LeetCode Free,,LeetCode,
1442. Count Triplets That Can Form Two Arrays of Equal XOR,,,,Medium,No,,,LeetCode Free,,LeetCode,
1523. Count Odd Numbers in an Interval Range,,,,Easy,No,,,LeetCode Free,,LeetCode,
1484. Group Sold Products By The Date,,,,Easy,No,,,LeetCode Free,,LeetCode,
1524. Number of Sub-arrays With Odd Sum,,,,Medium,No,,,LeetCode Free,,LeetCode,
1410. HTML Entity Parser,,,,Medium,No,,,LeetCode Free,,LeetCode,
1332. Remove Palindromic Subsequences,,,,Easy,No,,,LeetCode Free,,LeetCode,
1372. Longest ZigZag Path in a Binary Tree,,,,Medium,No,,,LeetCode Free,,LeetCode,
1380. Lucky Numbers in a Matrix,,,,Easy,No,,,LeetCode Free,,LeetCode,
1386. Cinema Seat Allocation,,,,Medium,No,,,LeetCode Free,,LeetCode,
1345. Jump Game IV,,,,Hard,No,,,LeetCode Free,,LeetCode,
1365. How Many Numbers Are Smaller Than the Current Number,,,,Easy,No,,,LeetCode Free,,LeetCode,
1360. Number of Days Between Two Dates,,,,Easy,No,,,LeetCode Free,,LeetCode,
1383. Maximum Performance of a Team,,,,Hard,No,,,LeetCode Free,,LeetCode,
1432. Max Difference You Can Get From Changing an Integer,,,,Medium,No,,,LeetCode Free,,LeetCode,
1219. Path with Maximum Gold,,,,Medium,No,,,LeetCode Free,,LeetCode,
1323. Maximum 69 Number,,,,Easy,No,,,LeetCode Free,,LeetCode,
1282. Group the People Given the Group Size They Belong To,,,,Medium,No,,,LeetCode Free,,LeetCode,
1299. Replace Elements with Greatest Element on Right Side,,,,Easy,No,,,LeetCode Free,,LeetCode,
1314. Matrix Block Sum,,,,Medium,No,,,LeetCode Free,,LeetCode,
1255. Maximum Score Words Formed by Letters,,,,Hard,No,,,LeetCode Free,,LeetCode,
1221. Split a String in Balanced Strings,,,,Easy,No,,,LeetCode Free,,LeetCode,
1218. Longest Arithmetic Subsequence of Given Difference,,,,Medium,No,,,LeetCode Free,,LeetCode,
1309. Decrypt String from Alphabet to Integer Mapping,,,,Easy,No,,,LeetCode Free,,LeetCode,
1326. Minimum Number of Taps to Open to Water a Garden,,,,Hard,No,,,LeetCode Free,,LeetCode,
1032. Stream of Characters,,,,Hard,No,,,LeetCode Free,,LeetCode,
1054. Distant Barcodes,,,,Medium,No,,,LeetCode Free,,LeetCode,
1053. Previous Permutation With One Swap,,,,Medium,No,,,LeetCode Free,,LeetCode,
1186. Maximum Subarray Sum with One Deletion,,,,Medium,No,,,LeetCode Free,,LeetCode,
1208. Get Equal Substrings Within Budget,,,,Medium,No,,,LeetCode Free,,LeetCode,
1055. Shortest Way to Form String,,,,Medium,No,,,LeetCode Free,,LeetCode,
1203. Sort Items by Groups Respecting Dependencies,,,,Hard,No,,,LeetCode Free,,LeetCode,
1154. Day of the Year,,,,Easy,No,,,LeetCode Free,,LeetCode,
1195. Fizz Buzz Multithreaded,,,,Medium,No,,,LeetCode Free,,LeetCode,
1179. Reformat Department Table,,,,Easy,No,,,LeetCode Free,,LeetCode,
1007. Minimum Domino Rotations For Equal Row,,,,Medium,No,,,LeetCode Free,,LeetCode,
976. Largest Perimeter Triangle,,,,Easy,No,,,LeetCode Free,,LeetCode,
939. Minimum Area Rectangle,,,,Medium,No,,,LeetCode Free,,LeetCode,
943. Find the Shortest Superstring,,,,Hard,No,,,LeetCode Free,,LeetCode,
945. Minimum Increment to Make Array Unique,,,,Medium,No,,,LeetCode Free,,LeetCode,
990. Satisfiability of Equality Equations,,,,Medium,No,,,LeetCode Free,,LeetCode,
1025. Divisor Game,,,,Easy,No,,,LeetCode Free,,LeetCode,
962. Maximum Width Ramp,,,,Medium,No,,,LeetCode Free,,LeetCode,
1009. Complement of Base 10 Integer,,,,Easy,No,,,LeetCode Free,,LeetCode,
1027. Longest Arithmetic Subsequence,,,,Medium,No,,,LeetCode Free,,LeetCode,
932. Beautiful Array,,,,Medium,No,,,LeetCode Free,,LeetCode,
937. Reorder Data in Log Files,,,,Medium,No,,,LeetCode Free,,LeetCode,
935. Knight Dialer,,,,Medium,No,,,LeetCode Free,,LeetCode,
914. X of a Kind in a Deck of Cards,,,,Easy,No,,,LeetCode Free,,LeetCode,
925. Long Pressed Name,,,,Easy,No,,,LeetCode Free,,LeetCode,
900. RLE Iterator,,,,Medium,No,,,LeetCode Free,,LeetCode,
910. Smallest Range II,,,,Medium,No,,,LeetCode Free,,LeetCode,
923. 3Sum With Multiplicity,,,,Medium,No,,,LeetCode Free,,LeetCode,
929. Unique Email Addresses,,,,Easy,No,,,LeetCode Free,,LeetCode,
926. Flip String to Monotone Increasing,,,,Medium,No,,,LeetCode Free,,LeetCode,
897. Increasing Order Search Tree,,,,Easy,No,,,LeetCode Free,,LeetCode,
873. Length of Longest Fibonacci Subsequence,,,,Medium,No,,,LeetCode Free,,LeetCode,
874. Walking Robot Simulation,,,,Medium,No,,,LeetCode Free,,LeetCode,
869. Reordered Power of 2,,,,Medium,No,,,LeetCode Free,,LeetCode,
871. Minimum Number of Refueling Stops,,,,Hard,No,,,LeetCode Free,,LeetCode,
864. Shortest Path to Get All Keys,,,,Hard,No,,,LeetCode Free,,LeetCode,
895. Maximum Frequency Stack,,,,Hard,No,,,LeetCode Free,,LeetCode,
889. Construct Binary Tree from Preorder and Postorder Traversal,,,,Medium,No,,,LeetCode Free,,LeetCode,
898. Bitwise ORs of Subarrays,,,,Medium,No,,,LeetCode Free,,LeetCode,
877. Stone Game,,,,Medium,No,,,LeetCode Free,,LeetCode,
841. Keys and Rooms,,,,Medium,No,,,LeetCode Free,,LeetCode,
818. Race Car,,,,Hard,No,,,LeetCode Free,,LeetCode,
851. Loud and Rich,,,,Medium,No,,,LeetCode Free,,LeetCode,
848. Shifting Letters,,,,Medium,No,,,LeetCode Free,,LeetCode,
769. Max Chunks To Make Sorted,,,,Medium,No,,,LeetCode Free,,LeetCode,
741. Cherry Pickup,,,,Hard,No,,,LeetCode Free,,LeetCode,
839. Similar String Groups,,,,Hard,No,,,LeetCode Free,,LeetCode,
754. Reach a Number,,,,Medium,No,,,LeetCode Free,,LeetCode,
788. Rotated Digits,,,,Medium,No,,,LeetCode Free,,LeetCode,
783. Minimum Distance Between BST Nodes,,,,Easy,No,,,LeetCode Free,,LeetCode,
661. Image Smoother,,,,Easy,No,,,LeetCode Free,,LeetCode,
709. To Lower Case,,,,Easy,No,,,LeetCode Free,,LeetCode,
707. Design Linked List,,,,Medium,No,,,LeetCode Free,,LeetCode,
664. Strange Printer,,,,Hard,No,,,LeetCode Free,,LeetCode,
665. Non-decreasing Array,,,,Medium,No,,,LeetCode Free,,LeetCode,
652. Find Duplicate Subtrees,,,,Medium,No,,,LeetCode Free,,LeetCode,
629. K Inverse Pairs Array,,,,Hard,No,,,LeetCode Free,,LeetCode,
655. Print Binary Tree,,,,Medium,No,,,LeetCode Free,,LeetCode,
641. Design Circular Deque,,,,Medium,No,,,LeetCode Free,,LeetCode,
668. Kth Smallest Number in Multiplication Table,,,,Hard,No,,,LeetCode Free,,LeetCode,
546. Remove Boxes,,,,Hard,No,,,LeetCode Free,,LeetCode,
537. Complex Number Multiplication,,,,Medium,No,,,LeetCode Free,,LeetCode,
607. Sales Person,,,,Easy,No,,,LeetCode Free,,LeetCode,
627. Swap Sex of Employees,,,,Easy,No,,,LeetCode Free,,LeetCode,
527. Word Abbreviation,,,,Hard,No,,,LeetCode Free,,LeetCode,
588. Design In-Memory File System,,,,Hard,No,,,LeetCode Free,,LeetCode,
575. Distribute Candies,,,,Easy,No,,,LeetCode Free,,LeetCode,
532. K-diff Pairs in an Array,,,,Medium,No,,,LeetCode Free,,LeetCode,
504. Base 7,,,,Easy,No,,,LeetCode Free,,LeetCode,
592. Fraction Addition and Subtraction,,,,Medium,No,,,LeetCode Free,,LeetCode,
464. Can I Win,,,,Medium,No,,,LeetCode Free,,LeetCode,
395. Longest Substring with At Least K Repeating Characters,,,,Medium,No,,,LeetCode Free,,LeetCode,
454. 4Sum II,,,,Medium,No,,,LeetCode Free,,LeetCode,
452. Minimum Number of Arrows to Burst Balloons,,,,Medium,No,,,LeetCode Free,,LeetCode,
446. Arithmetic Slices II - Subsequence,,,,Hard,No,,,LeetCode Free,,LeetCode,
420. Strong Password Checker,,,,Hard,No,,,LeetCode Free,,LeetCode,
475. Heaters,,,,Medium,No,,,LeetCode Free,,LeetCode,
487. Max Consecutive Ones II,,,,Medium,No,,,LeetCode Free,,LeetCode,
401. Binary Watch,,,,Easy,No,,,LeetCode Free,,LeetCode,
433. Minimum Genetic Mutation,,,,Medium,No,,,LeetCode Free,,LeetCode,
306. Additive Number,,,,Medium,No,,,LeetCode Free,,LeetCode,
362. Design Hit Counter,,,,Medium,No,,,LeetCode Free,,LeetCode,
391. Perfect Rectangle,,,,Hard,No,,,LeetCode Free,,LeetCode,
382. Linked List Random Node,,,,Medium,No,,,LeetCode Free,,LeetCode,
336. Palindrome Pairs,,,,Hard,No,,,LeetCode Free,,LeetCode,
298. Binary Tree Longest Consecutive Sequence,,,,Medium,No,,,LeetCode Free,,LeetCode,
372. Super Pow,,,,Medium,No,,,LeetCode Free,,LeetCode,
309. Best Time to Buy and Sell Stock with Cooldown,,,,Medium,No,,,LeetCode Free,,LeetCode,
327. Count of Range Sum,,,,Hard,No,,,LeetCode Free,,LeetCode,
353. Design Snake Game,,,,Medium,No,,,LeetCode Free,,LeetCode,
262. Trips and Users,,,,Hard,No,,,LeetCode Free,,LeetCode,
284. Peeking Iterator,,,,Medium,No,,,LeetCode Free,,LeetCode,
279. Perfect Squares,,,,Medium,No,,,LeetCode Free,,LeetCode,
164. Maximum Gap,,,,Medium,No,,,LeetCode Free,,LeetCode,
276. Paint Fence,,,,Medium,No,,,LeetCode Free,,LeetCode,
201. Bitwise AND of Numbers Range,,,,Medium,No,,,LeetCode Free,,LeetCode,
288. Unique Word Abbreviation,,,,Medium,No,,,LeetCode Free,,LeetCode,
194. Transpose File,,,,Medium,No,,,LeetCode Free,,LeetCode,
87. Scramble String,,,,Hard,No,,,LeetCode Free,,LeetCode,
106. Construct Binary Tree from Inorder and Postorder Traversal,,,,Medium,No,,,LeetCode Free,,LeetCode,
314. Binary Tree Vertical Order Traversal,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
408. Valid Word Abbreviation,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
708. Insert into a Sorted Circular Linked List,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
346. Moving Average from Data Stream,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
1570. Dot Product of Two Sparse Vectors,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1650. Lowest Common Ancestor of a Binary Tree III,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1762. Buildings With an Ocean View,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
270. Closest Binary Search Tree Value,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
339. Nested List Weight Sum,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
426. Convert Binary Search Tree to Sorted Doubly Linked List,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
269. Alien Dictionary,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
253. Meeting Rooms II,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
163. Missing Ranges,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
348. Design Tic-Tac-Toe,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
489. Robot Room Cleaner,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
536. Construct Binary Tree from String,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1868. Product of Two Run-Length Encoded Arrays,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1060. Missing Element in Sorted Array,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
249. Group Shifted Strings,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1216. Valid Palindrome III,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
490. The Maze,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
317. Shortest Distance from All Buildings,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
311. Sparse Matrix Multiplication,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
545. Boundary of Binary Tree,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1644. Lowest Common Ancestor of a Binary Tree II,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
246. Strobogrammatic Number,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
1891. Cutting Ribbons,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
286. Walls and Gates,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1778. Shortest Path in a Hidden Grid,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
247. Strobogrammatic Number II,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
277. Find the Celebrity,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1213. Intersection of Three Sorted Arrays,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
333. Largest BST Subtree,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
325. Maximum Size Subarray Sum Equals k,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1810. Minimum Path Cost in a Hidden Grid,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1522. Diameter of N-Ary Tree,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
261. Graph Valid Tree,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
161. One Edit Distance,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
597. Friend Requests I: Overall Acceptance Rate,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
252. Meeting Rooms,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
1428. Leftmost Column with at Least a One,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1892. Page Recommendations II,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
1826. Faulty Sensor,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
642. Design Search Autocomplete System,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
1322. Ads Performance,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
1445. Apples & Oranges,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1242. Web Crawler Multithreaded,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
266. Palindrome Permutation,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
1586. Binary Search Tree Iterator II,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1264. Page Recommendations,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
2199. Finding the Topic of Each Post,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
157. Read N Characters Given Read4,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
1973. Count Nodes Equal to Sum of Descendants,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1132. Reported Posts II,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1197. Minimum Knight Moves,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
271. Encode and Decode Strings,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
285. Inorder Successor in BST,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
265. Paint House II,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
578. Get Highest Answer Rate Question,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
159. Longest Substring with At Most Two Distinct Characters,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1076. Project Employees II,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
1113. Reported Posts,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
1398. Customers Who Bought Products A and B but Not C,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1142. User Activity for the Past 30 Days II,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
1949. Strong Friendship,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1236. Web Crawler,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1077. Project Employees III,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1225. Report Contiguous Dates,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
750. Number Of Corner Rectangles,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1241. Number of Comments per Post,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
716. Max Stack,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
1229. Meeting Scheduler,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
510. Inorder Successor in BST II,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
727. Minimum Window Subsequence,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
296. Best Meeting Point,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
616. Add Bold Tag in String,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1245. Tree Diameter,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
723. Candy Crush,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
323. Number of Connected Components in an Undirected Graph,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
158. Read N Characters Given read4 II - Call Multiple Times,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
428. Serialize and Deserialize N-ary Tree,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
305. Number of Islands II,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
568. Maximum Vacation Days,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
772. Basic Calculator III,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
694. Number of Distinct Islands,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1429. First Unique Number,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1506. Find Root of N-Ary Tree,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
364. Nested List Weight Sum II,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1166. Design File System,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
267. Palindrome Permutation II,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
505. The Maze II,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1676. Lowest Common Ancestor of a Binary Tree IV,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1607. Sellers With No Sales,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
3009. Maximum Number of Intersections on the Chart,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
2655. Find Maximal Uncovered Ranges,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1485. Clone Binary Tree With Random Pointer,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1730. Shortest Path to Get Food,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
340. Longest Substring with At Most K Distinct Characters,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1062. Longest Repeating Substring,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
359. Logger Rate Limiter,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
288. Unique Word Abbreviation,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
527. Word Abbreviation,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
588. Design In-Memory File System,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
487. Max Consecutive Ones II,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
711. Number of Distinct Islands II,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
362. Design Hit Counter,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
298. Binary Tree Longest Consecutive Sequence,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
353. Design Snake Game,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1055. Shortest Way to Form String,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
276. Paint Fence,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
,,,,,No,,,,,,
,,,,,No,,,,,,
